GlyTouCanAccession	MotifAccession	Label	Alignment
G29537DZ	GGM.000002	Type 2 LN2	Substructure
G29537DZ	GGM.000004	i antigen	Substructure
G29537DZ	GGM.000018	Lewis x	Substructure
G29539MT	GGM.000001	Type 2 LN	Substructure
G29539MT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29539ZA	GGM.000001	Type 2 LN	Substructure
G29539ZA	GGM.000002	Type 2 LN2	Substructure
G29539ZA	GGM.000004	i antigen	Substructure
G29539ZA	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29544MA	GGM.000001	Type 2 LN	Substructure
G29544MA	GGM.000005	Type 1 LN	Substructure
G29544MA	GGM.000016	LacdiNAc	Substructure
G29548YX	GGM.000001	Type 2 LN	Substructure
G29549OH	GGM.000005	Type 1 LN	Substructure
G29549OH	GGM.000020	Lewis a	Substructure
G29549OH	GGM.000024	Sialyl Lewis a	Nonreducing-End
G29557AV	GGM.000001	Type 2 LN	Substructure
G29557AV	GGM.000005	Type 1 LN	Substructure
G29563KJ	GGM.000001	Type 2 LN	Substructure
G29563KJ	GGM.000005	Type 1 LN	Substructure
G29565HU	GGM.000001	Type 2 LN	Substructure
G29565HU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29568VE	GGM.000001	Type 2 LN	Substructure
G29574CC	GGM.000001	Type 2 LN	Substructure
G29574CC	GGM.000005	Type 1 LN	Substructure
G29574CC	GGM.000018	Lewis x	Substructure
G29574CC	GGM.000020	Lewis a	Substructure
G29574TI	GGM.000001	Type 2 LN	Substructure
G29574TI	GGM.000016	LacdiNAc	Substructure
G29578WS	GGM.000001	Type 2 LN	Substructure
G29578WS	GGM.000002	Type 2 LN2	Substructure
G29578WS	GGM.000004	i antigen	Substructure
G29578WS	GGM.000005	Type 1 LN	Substructure
G29578WS	GGM.000006	Type 1 LN2	Substructure
G29578WS	GGM.000007	Type 1 LN3	Substructure
G29580VZ	GGM.000016	LacdiNAc	Substructure
G29580VZ	GGM.000049	4'-sulfated LDN	Substructure
G29584FT	GGM.000001	Type 2 LN	Substructure
G29587NV	GGM.000011	A antigen (type 3)	Whole-Glycan
G29602BI	GGM.000001	Type 2 LN	Substructure
G29602BI	GGM.000005	Type 1 LN	Substructure
G29606KX	GGM.000001	Type 2 LN	Substructure
G29606KX	GGM.000005	Type 1 LN	Substructure
G29606KX	GGM.000018	Lewis x	Substructure
G29606KX	GGM.000020	Lewis a	Substructure
G29610GQ	GGM.000001	Type 2 LN	Substructure
G29610GQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29622NE	GGM.000001	Type 2 LN	Substructure
G29622NE	GGM.000002	Type 2 LN2	Substructure
G29622NE	GGM.000005	Type 1 LN	Substructure
G29622NE	GGM.000018	Lewis x	Substructure
G29622NE	GGM.000020	Lewis a	Substructure
G29624ZY	GGM.000001	Type 2 LN	Substructure
G29624ZY	GGM.000002	Type 2 LN2	Substructure
G29624ZY	GGM.000005	Type 1 LN	Substructure
G29624ZY	GGM.000006	Type 1 LN2	Substructure
G29624ZY	GGM.000018	Lewis x	Substructure
G29624ZY	GGM.000020	Lewis a	Substructure
G29624ZY	GGM.000033	VIM-2	Nonreducing-End
G29624ZY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29628MO	GGM.000001	Type 2 LN	Substructure
G29628MO	GGM.000005	Type 1 LN	Substructure
G29628MO	GGM.000042	Blood group H (type 1)	Substructure
G29629ZD	GGM.000001	Type 2 LN	Substructure
G29629ZD	GGM.000005	Type 1 LN	Substructure
G29629ZD	GGM.000018	Lewis x	Substructure
G29633ZY	GGM.000001	Type 2 LN	Substructure
G29633ZY	GGM.000015	a-Gal antigen	Substructure
G29633ZY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29643GJ	GGM.000001	Type 2 LN	Substructure
G29643GJ	GGM.000015	a-Gal antigen	Substructure
G29644TC	GGM.000001	Type 2 LN	Substructure
G29649MR	GGM.000001	Type 2 LN	Substructure
G29649MR	GGM.000015	a-Gal antigen	Substructure
G29649MR	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29658JP	GGM.000015	a-Gal antigen	Substructure
G29658JP	GGM.000084	Forssman glycolipid	Whole-Glycan
G29658JP	GGM.000085	para-Forssman glycolipid	Whole-Glycan
G29659GF	GGM.000001	Type 2 LN	Substructure
G29659GF	GGM.000005	Type 1 LN	Substructure
G29659GF	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29665AE	GGM.000001	Type 2 LN	Substructure
G29667VM	GGM.000005	Type 1 LN	Substructure
G29667VM	GGM.000042	Blood group H (type 1)	Substructure
G29671YG	GGM.000005	Type 1 LN	Substructure
G29676WX	GGM.000016	LacdiNAc	Substructure
G29676WX	GGM.000049	4'-sulfated LDN	Substructure
G29680KY	GGM.000001	Type 2 LN	Substructure
G29681BP	GGM.000001	Type 2 LN	Substructure
G29685IZ	GGM.000001	Type 2 LN	Substructure
G29685IZ	GGM.000005	Type 1 LN	Substructure
G29685IZ	GGM.000018	Lewis x	Substructure
G29685IZ	GGM.000020	Lewis a	Substructure
G29685IZ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29685IZ	GGM.000024	Sialyl Lewis a	Nonreducing-End
G29685IZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29694CK	GGM.000001	Type 2 LN	Substructure
G29694CK	GGM.000005	Type 1 LN	Substructure
G29694CK	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29695SR	GGM.000001	Type 2 LN	Substructure
G29695SR	GGM.000002	Type 2 LN2	Substructure
G29695SR	GGM.000018	Lewis x	Substructure
G29703NT	GGM.000001	Type 2 LN	Substructure
G29703NT	GGM.000002	Type 2 LN2	Substructure
G29703NT	GGM.000036	Blood group H (type 2)	Substructure
G29706UC	GGM.000001	Type 2 LN	Substructure
G29706UC	GGM.000005	Type 1 LN	Substructure
G29708KY	GGM.000001	Type 2 LN	Substructure
G29708KY	GGM.000005	Type 1 LN	Substructure
G29708KY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29712MR	GGM.000001	Type 2 LN	Substructure
G29712MR	GGM.000005	Type 1 LN	Substructure
G29713MP	GGM.000001	Type 2 LN	Substructure
G29713MP	GGM.000005	Type 1 LN	Substructure
G29713MP	GGM.000036	Blood group H (type 2)	Substructure
G29713MP	GGM.000042	Blood group H (type 1)	Substructure
G29721UX	GGM.000001	Type 2 LN	Substructure
G29721UX	GGM.000005	Type 1 LN	Substructure
G29721UX	GGM.000018	Lewis x	Substructure
G29725MK	GGM.000001	Type 2 LN	Substructure
G29725MK	GGM.000018	Lewis x	Substructure
G29726HP	GGM.000001	Type 2 LN	Substructure
G29726HP	GGM.000005	Type 1 LN	Substructure
G29726HP	GGM.000018	Lewis x	Substructure
G29726HP	GGM.000020	Lewis a	Substructure
G29728RE	GGM.000001	Type 2 LN	Substructure
G29728RE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29729DB	GGM.000001	Type 2 LN	Substructure
G29729DB	GGM.000005	Type 1 LN	Substructure
G29733CJ	GGM.000001	Type 2 LN	Substructure
G29733CJ	GGM.000018	Lewis x	Substructure
G29733CJ	GGM.000019	Lewis y	Substructure
G29733CJ	GGM.000036	Blood group H (type 2)	Substructure
G29733CJ	GGM.000038	Blood group A (type 2)	Substructure
G29733CJ	GGM.000039	Blood group A (type 2) - Lewis y	Substructure
G29733CJ	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G29734KE	GGM.000001	Type 2 LN	Substructure
G29734KE	GGM.000005	Type 1 LN	Substructure
G29734KE	GGM.000018	Lewis x	Substructure
G29734KE	GGM.000020	Lewis a	Substructure
G29739GM	GGM.000001	Type 2 LN	Substructure
G29739GM	GGM.000036	Blood group H (type 2)	Substructure
G29739TI	GGM.000001	Type 2 LN	Substructure
G29739TI	GGM.000005	Type 1 LN	Substructure
G29740WT	GGM.000001	Type 2 LN	Substructure
G29740WT	GGM.000005	Type 1 LN	Substructure
G29747QV	GGM.000001	Type 2 LN	Substructure
G29748HZ	GGM.000001	Type 2 LN	Substructure
G29751MN	GGM.000001	Type 2 LN	Substructure
G29754CL	GGM.000001	Type 2 LN	Substructure
G29754CL	GGM.000018	Lewis x	Substructure
G29754CL	GGM.000019	Lewis y	Substructure
G29754CL	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29754CL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29754CL	GGM.000036	Blood group H (type 2)	Substructure
G29754CL	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G29764SO	GGM.000001	Type 2 LN	Substructure
G29764SO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29774PP	GGM.000001	Type 2 LN	Substructure
G29774PP	GGM.000005	Type 1 LN	Substructure
G29783JJ	GGM.000001	Type 2 LN	Substructure
G29787KK	GGM.000001	Type 2 LN	Substructure
G29787KK	GGM.000005	Type 1 LN	Substructure
G29787UO	GGM.000005	Type 1 LN	Substructure
G29797YX	GGM.000001	Type 2 LN	Substructure
G29797YX	GGM.000005	Type 1 LN	Substructure
G29800ED	GGM.000015	a-Gal antigen	Substructure
G29815KP	GGM.000016	LacdiNAc	Substructure
G29815KP	GGM.000017	Fucosylated LDN	Substructure
G29818DV	GGM.000001	Type 2 LN	Substructure
G29818DV	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29818FJ	GGM.000001	Type 2 LN	Substructure
G29818FJ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29818FJ	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G29818FJ	GGM.000036	Blood group H (type 2)	Substructure
G29824BS	GGM.000001	Type 2 LN	Substructure
G29824BS	GGM.000005	Type 1 LN	Substructure
G29824BS	GGM.000015	a-Gal antigen	Substructure
G29829UF	GGM.000001	Type 2 LN	Substructure
G29829UF	GGM.000018	Lewis x	Substructure
G29832VY	GGM.000001	Type 2 LN	Substructure
G29832VY	GGM.000018	Lewis x	Substructure
G29833RJ	GGM.000001	Type 2 LN	Substructure
G29833RJ	GGM.000005	Type 1 LN	Substructure
G29833RJ	GGM.000018	Lewis x	Substructure
G29833RJ	GGM.000020	Lewis a	Substructure
G29849JL	GGM.000001	Type 2 LN	Substructure
G29849JL	GGM.000002	Type 2 LN2	Substructure
G29849JL	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G29849KU	GGM.000001	Type 2 LN	Substructure
G29850BY	GGM.000001	Type 2 LN	Substructure
G29850BY	GGM.000015	a-Gal antigen	Substructure
G29853JE	GGM.000001	Type 2 LN	Substructure
G29853JE	GGM.000005	Type 1 LN	Substructure
G29853JE	GGM.000036	Blood group H (type 2)	Substructure
G29853JE	GGM.000042	Blood group H (type 1)	Substructure
G29854DQ	GGM.000001	Type 2 LN	Substructure
G29854DQ	GGM.000005	Type 1 LN	Substructure
G29854DQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29857PJ	GGM.000001	Type 2 LN	Substructure
G29857PJ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29857RC	GGM.000001	Type 2 LN	Substructure
G29859KI	GGM.000001	Type 2 LN	Substructure
G29859KI	GGM.000005	Type 1 LN	Substructure
G29859KI	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29859KI	GGM.000036	Blood group H (type 2)	Substructure
G29859KI	GGM.000042	Blood group H (type 1)	Substructure
G29860KW	GGM.000001	Type 2 LN	Substructure
G29860KW	GGM.000002	Type 2 LN2	Substructure
G29860KW	GGM.000005	Type 1 LN	Substructure
G29860KW	GGM.000006	Type 1 LN2	Substructure
G29867AK	GGM.000001	Type 2 LN	Substructure
G29867AK	GGM.000005	Type 1 LN	Substructure
G29867LB	GGM.000015	a-Gal antigen	Substructure
G29870RM	GGM.000001	Type 2 LN	Substructure
G29870RM	GGM.000016	LacdiNAc	Substructure
G29871VA	GGM.000001	Type 2 LN	Substructure
G29871VA	GGM.000002	Type 2 LN2	Substructure
G29871VA	GGM.000004	i antigen	Substructure
G29871VA	GGM.000005	Type 1 LN	Substructure
G29871VA	GGM.000006	Type 1 LN2	Substructure
G29871VA	GGM.000007	Type 1 LN3	Substructure
G29871VA	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29879FQ	GGM.000001	Type 2 LN	Substructure
G29879FQ	GGM.000018	Lewis x	Substructure
G29879FQ	GGM.000019	Lewis y	Substructure
G29879FQ	GGM.000036	Blood group H (type 2)	Substructure
G29879FQ	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G29881WK	GGM.000001	Type 2 LN	Substructure
G29884LW	GGM.000001	Type 2 LN	Substructure
G29890QK	GGM.000001	Type 2 LN	Substructure
G29890QK	GGM.000005	Type 1 LN	Substructure
G29890QK	GGM.000018	Lewis x	Substructure
G29890QK	GGM.000020	Lewis a	Substructure
G29894IU	GGM.000001	Type 2 LN	Substructure
G29894IU	GGM.000005	Type 1 LN	Substructure
G29894IU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29895JE	GGM.000001	Type 2 LN	Substructure
G29895JE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29895LZ	GGM.000001	Type 2 LN	Substructure
G29895LZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29896JT	GGM.000001	Type 2 LN	Substructure
G29896JT	GGM.000005	Type 1 LN	Substructure
G29896JT	GGM.000018	Lewis x	Substructure
G29896JT	GGM.000020	Lewis a	Substructure
G29896JT	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29896JT	GGM.000024	Sialyl Lewis a	Nonreducing-End
G29896JT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29896YQ	GGM.000001	Type 2 LN	Substructure
G29896YQ	GGM.000005	Type 1 LN	Substructure
G29896YQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29898IW	GGM.000001	Type 2 LN	Substructure
G29898IW	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29900GO	GGM.000001	Type 2 LN	Substructure
G29900GO	GGM.000005	Type 1 LN	Substructure
G29900GO	GGM.000036	Blood group H (type 2)	Substructure
G29900GO	GGM.000042	Blood group H (type 1)	Substructure
G29900YC	GGM.000001	Type 2 LN	Substructure
G29900YC	GGM.000002	Type 2 LN2	Substructure
G29900YC	GGM.000018	Lewis x	Substructure
G29900YC	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29900YC	GGM.000031	Lex-Lex	Substructure
G29900YC	GGM.000032	SDLex	Nonreducing-End
G29900YC	GGM.000033	VIM-2	Nonreducing-End
G29900YC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29904GH	GGM.000001	Type 2 LN	Substructure
G29904GH	GGM.000015	a-Gal antigen	Substructure
G29905YP	GGM.000001	Type 2 LN	Substructure
G29905YP	GGM.000005	Type 1 LN	Substructure
G29912II	GGM.000001	Type 2 LN	Substructure
G29912II	GGM.000005	Type 1 LN	Substructure
G29912II	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29914BX	GGM.000001	Type 2 LN	Substructure
G29914BX	GGM.000005	Type 1 LN	Substructure
G29914GR	GGM.000001	Type 2 LN	Substructure
G29914GR	GGM.000002	Type 2 LN2	Substructure
G29914GR	GGM.000005	Type 1 LN	Substructure
G29914GR	GGM.000006	Type 1 LN2	Substructure
G29914GR	GGM.000015	a-Gal antigen	Substructure
G29914GR	GGM.000018	Lewis x	Substructure
G29914GR	GGM.000019	Lewis y	Substructure
G29914GR	GGM.000020	Lewis a	Substructure
G29914GR	GGM.000021	Lewis b	Substructure
G29914GR	GGM.000036	Blood group H (type 2)	Substructure
G29914GR	GGM.000037	Blood group B (type 2)	Substructure
G29914GR	GGM.000042	Blood group H (type 1)	Substructure
G29914GR	GGM.000043	Blood group B (type 1)	Substructure
G29914GR	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G29914GR	GGM.000046	Blood group B (type 1) - Lewis b	Substructure
G29916OJ	GGM.000001	Type 2 LN	Substructure
G29916OJ	GGM.000018	Lewis x	Substructure
G29916OJ	GGM.000019	Lewis y	Substructure
G29916OJ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29916OJ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29916OJ	GGM.000036	Blood group H (type 2)	Substructure
G29916OJ	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G29919ZV	GGM.000001	Type 2 LN	Substructure
G29919ZV	GGM.000005	Type 1 LN	Substructure
G29919ZV	GGM.000015	a-Gal antigen	Substructure
G29923RP	GGM.000001	Type 2 LN	Substructure
G29923RP	GGM.000002	Type 2 LN2	Substructure
G29923RP	GGM.000003	I antigen	Substructure
G29923RP	GGM.000036	Blood group H (type 2)	Substructure
G29924NS	GGM.000001	Type 2 LN	Substructure
G29929KQ	GGM.000001	Type 2 LN	Substructure
G29929KQ	GGM.000005	Type 1 LN	Substructure
G29929KQ	GGM.000015	a-Gal antigen	Substructure
G29929KQ	GGM.000018	Lewis x	Substructure
G29929KQ	GGM.000020	Lewis a	Substructure
G29929KQ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29929KQ	GGM.000024	Sialyl Lewis a	Nonreducing-End
G29929KQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29931YE	GGM.000001	Type 2 LN	Substructure
G29931YE	GGM.000036	Blood group H (type 2)	Substructure
G29932YR	GGM.000016	LacdiNAc	Substructure
G29932YR	GGM.000017	Fucosylated LDN	Substructure
G29937LF	GGM.000001	Type 2 LN	Substructure
G29940LU	GGM.000001	Type 2 LN	Substructure
G29940LU	GGM.000005	Type 1 LN	Substructure
G29940LU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29941TA	GGM.000001	Type 2 LN	Substructure
G29941TA	GGM.000015	a-Gal antigen	Substructure
G29942JW	GGM.000001	Type 2 LN	Substructure
G29942JW	GGM.000002	Type 2 LN2	Substructure
G29956GF	GGM.000001	Type 2 LN	Substructure
G29956GF	GGM.000002	Type 2 LN2	Substructure
G29956GF	GGM.000036	Blood group H (type 2)	Substructure
G29964CE	GGM.000015	a-Gal antigen	Substructure
G29964CE	GGM.000070	Globoside	Whole-Glycan
G29964CE	GGM.000071	Isoglobotetraosylceramide	Whole-Glycan
G29964CE	GGM.000083	Cytolipin R	Whole-Glycan
G29965VW	GGM.000001	Type 2 LN	Substructure
G29966WK	GGM.000015	a-Gal antigen	Substructure
G29966WK	GGM.000104	B-GD1b	Whole-Glycan
G29969FK	GGM.000001	Type 2 LN	Substructure
G29969FK	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29969UN	GGM.000001	Type 2 LN	Substructure
G29969UN	GGM.000002	Type 2 LN2	Substructure
G29969UN	GGM.000003	I antigen	Substructure
G29969UN	GGM.000005	Type 1 LN	Substructure
G29969UN	GGM.000006	Type 1 LN2	Substructure
G29969UN	GGM.000036	Blood group H (type 2)	Substructure
G29969UN	GGM.000042	Blood group H (type 1)	Substructure
G29970QU	GGM.000016	LacdiNAc	Substructure
G29970QU	GGM.000017	Fucosylated LDN	Substructure
G29972ZX	GGM.000001	Type 2 LN	Substructure
G29982MY	GGM.000001	Type 2 LN	Substructure
G29982MY	GGM.000005	Type 1 LN	Substructure
G29982MY	GGM.000018	Lewis x	Substructure
G29982MY	GGM.000020	Lewis a	Substructure
G29982MY	GGM.000022	Sialyl Lewis x	Nonreducing-End
G29982MY	GGM.000024	Sialyl Lewis a	Nonreducing-End
G29982MY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29982MY	GGM.000036	Blood group H (type 2)	Substructure
G29982MY	GGM.000042	Blood group H (type 1)	Substructure
G29988NK	GGM.000001	Type 2 LN	Substructure
G29988NK	GGM.000002	Type 2 LN2	Substructure
G29988NK	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G29993CY	GGM.000001	Type 2 LN	Substructure
G29993CY	GGM.000005	Type 1 LN	Substructure
G29993CY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G29994KB	GGM.000001	Type 2 LN	Substructure
G29994KB	GGM.000002	Type 2 LN2	Substructure
G29994KB	GGM.000003	I antigen	Substructure
G29994KB	GGM.000005	Type 1 LN	Substructure
G29994KB	GGM.000006	Type 1 LN2	Substructure
G29994KB	GGM.000018	Lewis x	Substructure
G29994KB	GGM.000020	Lewis a	Substructure
G29995OZ	GGM.000001	Type 2 LN	Substructure
G29995OZ	GGM.000015	a-Gal antigen	Substructure
G30000YQ	GGM.000001	Type 2 LN	Substructure
G30000YQ	GGM.000002	Type 2 LN2	Substructure
G30000YQ	GGM.000005	Type 1 LN	Substructure
G30000YQ	GGM.000006	Type 1 LN2	Substructure
G30000YQ	GGM.000018	Lewis x	Substructure
G30000YQ	GGM.000020	Lewis a	Substructure
G30000YQ	GGM.000033	VIM-2	Nonreducing-End
G30000YQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30005SW	GGM.000001	Type 2 LN	Substructure
G30005SW	GGM.000005	Type 1 LN	Substructure
G30011VO	GGM.000001	Type 2 LN	Substructure
G30011VO	GGM.000018	Lewis x	Substructure
G30013YE	GGM.000001	Type 2 LN	Substructure
G30013YE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30024TK	GGM.000001	Type 2 LN	Substructure
G30024TK	GGM.000005	Type 1 LN	Substructure
G30024TK	GGM.000015	a-Gal antigen	Substructure
G30031SW	GGM.000001	Type 2 LN	Substructure
G30032SB	GGM.000001	Type 2 LN	Substructure
G30032SB	GGM.000002	Type 2 LN2	Substructure
G30032SB	GGM.000003	I antigen	Substructure
G30032SB	GGM.000005	Type 1 LN	Substructure
G30032SB	GGM.000006	Type 1 LN2	Substructure
G30032SB	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30035MO	GGM.000001	Type 2 LN	Substructure
G30035MO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30036QS	GGM.000001	Type 2 LN	Substructure
G30036QS	GGM.000005	Type 1 LN	Substructure
G30036QS	GGM.000015	a-Gal antigen	Substructure
G30048DT	GGM.000001	Type 2 LN	Substructure
G30048DT	GGM.000005	Type 1 LN	Substructure
G30048DT	GGM.000018	Lewis x	Substructure
G30048DT	GGM.000020	Lewis a	Substructure
G30048DT	GGM.000022	Sialyl Lewis x	Nonreducing-End
G30048DT	GGM.000024	Sialyl Lewis a	Nonreducing-End
G30048DT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30048DT	GGM.000036	Blood group H (type 2)	Substructure
G30048DT	GGM.000042	Blood group H (type 1)	Substructure
G30048YR	GGM.000001	Type 2 LN	Substructure
G30048YR	GGM.000018	Lewis x	Substructure
G30050UH	GGM.000001	Type 2 LN	Substructure
G30051LA	GGM.000001	Type 2 LN	Substructure
G30051LA	GGM.000005	Type 1 LN	Substructure
G30051LA	GGM.000018	Lewis x	Substructure
G30051LA	GGM.000020	Lewis a	Substructure
G30051LA	GGM.000022	Sialyl Lewis x	Nonreducing-End
G30051LA	GGM.000024	Sialyl Lewis a	Nonreducing-End
G30051LA	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30055DT	GGM.000001	Type 2 LN	Substructure
G30055DT	GGM.000002	Type 2 LN2	Substructure
G30055GV	GGM.000001	Type 2 LN	Substructure
G30055GV	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30060ZO	GGM.000001	Type 2 LN	Substructure
G30060ZO	GGM.000002	Type 2 LN2	Substructure
G30060ZO	GGM.000018	Lewis x	Substructure
G30062BR	GGM.000001	Type 2 LN	Substructure
G30062BR	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30067CL	GGM.000001	Type 2 LN	Substructure
G30067CL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30070XN	GGM.000001	Type 2 LN	Substructure
G30070XN	GGM.000018	Lewis x	Substructure
G30084YQ	GGM.000001	Type 2 LN	Substructure
G30085SO	GGM.000005	Type 1 LN	Substructure
G30085SO	GGM.000042	Blood group H (type 1)	Substructure
G30086CM	GGM.000005	Type 1 LN	Substructure
G30086CM	GGM.000042	Blood group H (type 1)	Substructure
G30086CM	GGM.000044	Blood group A (type 1)	Substructure
G30087HU	GGM.000001	Type 2 LN	Substructure
G30087HU	GGM.000005	Type 1 LN	Substructure
G30089VH	GGM.000001	Type 2 LN	Substructure
G30089VH	GGM.000005	Type 1 LN	Substructure
G30089VH	GGM.000018	Lewis x	Substructure
G30089VH	GGM.000020	Lewis a	Substructure
G30089VH	GGM.000024	Sialyl Lewis a	Nonreducing-End
G30090IC	GGM.000001	Type 2 LN	Substructure
G30090IC	GGM.000002	Type 2 LN2	Substructure
G30090IC	GGM.000018	Lewis x	Substructure
G30095XF	GGM.000001	Type 2 LN	Substructure
G30095XF	GGM.000005	Type 1 LN	Substructure
G30095XF	GGM.000015	a-Gal antigen	Substructure
G30098OV	GGM.000001	Type 2 LN	Substructure
G30103WA	GGM.000001	Type 2 LN	Substructure
G30103WA	GGM.000018	Lewis x	Substructure
G30103WA	GGM.000029	3'-Sulfo-Lewis x	Substructure
G30106GO	GGM.000001	Type 2 LN	Substructure
G30106GO	GGM.000002	Type 2 LN2	Substructure
G30106GO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30106JO	GGM.000001	Type 2 LN	Substructure
G30109UP	GGM.000001	Type 2 LN	Substructure
G30110UW	GGM.000014	Di-sialyl T antigen	Whole-Glycan
G30110UW	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G30113IX	GGM.000001	Type 2 LN	Substructure
G30113IX	GGM.000005	Type 1 LN	Substructure
G30113IX	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30115QF	GGM.000001	Type 2 LN	Substructure
G30115QF	GGM.000002	Type 2 LN2	Substructure
G30115QF	GGM.000004	i antigen	Substructure
G30115QF	GGM.000018	Lewis x	Substructure
G30115SP	GGM.000001	Type 2 LN	Substructure
G30119VI	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G30120OH	GGM.000001	Type 2 LN	Substructure
G30120OH	GGM.000002	Type 2 LN2	Substructure
G30120XC	GGM.000001	Type 2 LN	Substructure
G30120XC	GGM.000005	Type 1 LN	Substructure
G30121LP	GGM.000001	Type 2 LN	Substructure
G30121LP	GGM.000002	Type 2 LN2	Substructure
G30123WW	GGM.000001	Type 2 LN	Substructure
G30123WW	GGM.000005	Type 1 LN	Substructure
G30127OZ	GGM.000001	Type 2 LN	Substructure
G30127OZ	GGM.000005	Type 1 LN	Substructure
G30127OZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30128LJ	GGM.000001	Type 2 LN	Substructure
G30128LJ	GGM.000005	Type 1 LN	Substructure
G30128LJ	GGM.000015	a-Gal antigen	Substructure
G30129GW	GGM.000016	LacdiNAc	Substructure
G30129GW	GGM.000049	4'-sulfated LDN	Substructure
G30131YB	GGM.000001	Type 2 LN	Substructure
G30142GT	GGM.000005	Type 1 LN	Substructure
G30142LS	GGM.000001	Type 2 LN	Substructure
G30142LS	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30149NP	GGM.000001	Type 2 LN	Substructure
G30171GE	GGM.000001	Type 2 LN	Substructure
G30171GE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30173NO	GGM.000005	Type 1 LN	Substructure
G30173RI	GGM.000001	Type 2 LN	Substructure
G30173RI	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G30182VC	GGM.000001	Type 2 LN	Substructure
G30182VC	GGM.000005	Type 1 LN	Substructure
