glytoucan_acc	glytoucan_type	glycan_mass	glycan_permass	base_composition	composition	topology	monosaccharides
G19813SH	Saccharide	820.29608631	1030.53083736	G42932DS	G18559OI	G30119VI	4
G19815CW	Topology	877.317550045	1101.56795117	G85811SG	G81851QZ	G19815CW	4
G19817JF	Saccharide	545.195584305	699.367735075	G05394UY	G75013DQ	G45143MB	3
G19822MG	Saccharide	1021.24278979	1259.50884098	G54808JQ	G18979UR	G97807BO	5
G19826RH	Saccharide	1558.53907441	1964.99292644	G31852PQ	G45552IY	G64916BF	9
G19829VK	Saccharide	894.33286578	1118.5832669	G93579XB	G12641NB	G90765IR	5
G19839OY	Saccharide	1843.67154523	2292.17234747	G65184UU	G31831PV	G19506LX	10
G19840AF	Saccharide	2749.9680255	3422.71922885	G12845MO	G74684KO	G15792GH	14
G19841IT	Saccharide	1583.57070888	1976.00891084	G15486FH	G23179JZ	G68767KY	9
G19842AM	Topology	1874.66612552	2337.18257783	G15075HJ	G76531DS	G19842AM	10
G19848BR	Topology	545.195584305	699.367735075	G05394UY	G96927TT	G19848BR	3
G19848DE	Saccharide	836.29100094	1060.54140206	G63053UD	G62828VD	G84268NL	4
G19854PG	Saccharide	2733.97311086	3392.70866415	G25569EP	G93563JK	G16823AW	14
G19857HY	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G19860ZP	Topology	1583.57070888	1976.00891084	G15486FH	G23179JZ	G19860ZP	9
G19863GR	Topology	2176.81391207	2681.37731459	G20698EO	G22702VY	G19863GR	12
G19863KG	Saccharide	2153.79792767	2686.39263033	G26881UW	G55017JL	G28165YP	12
G19868AX	Saccharide	1519.56589823	1883.97280004	G49955PK	G41029CD	G57462DO	8
G19870TQ	Saccharide	570.22721878	710.38371948	G06042JP	G20391ZE	G03838OG	3
G19879XX	Composition	937.375064955	1175.64111614	G02612GE	G19879XX		5
G19881RR	Topology	475.063189885		G66706SL	G75731FY	G19881RR	2
G19885TN	BaseComposition	1277.47562658	1613.85122826	G19885TN			7
G19886LH	Saccharide	1072.38060391	1352.69360531	G92050GC	G86052EW	G58858DY	6
G19889XB	Composition	2850.05684054	3508.79239383	G33635AG	G19889XB		16
G19889ZI	Saccharide	1220.45416285	1542.81411446	G98148QF	G96095IM	G80375GX	7
G19890MT	Topology	1640.59217262	2047.04602465	G10486CT	G73811LP	G19890MT	9
G19894RH	Saccharide	1724.6609209	2145.130423	G11248PY	G98445GL	G17305LD	9
G19904RO	Saccharide	586.22213341	740.39428418	G58001LT	G59848RU	G44322FC	3
G19906BM	Saccharide	2282.8405208	2843.4665236	G76915EY	G18842WA	G43140KY	12
G19913KF	Topology	1550.56047852	1928.98303041	G49695NW	G11764PR	G19913KF	8
G19914RN	Saccharide	1931.68758926	2408.21969164	G15175QG	G32207JL	G37427AX	10
G19917SO	Topology	2561.86316642	3220.59871971	G65218NY	G09943HK	G19917SO	12
G19926LY	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G81647RY	4
G19927IA	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G62082AD	3
G19933EP	Topology	707.248407805	903.467508785	G08590QR	G47270FQ	G19933EP	4
G19934BY	Saccharide	2737.00916204	3395.74471533	G68307EX	G86601NU	G81551NS	15
G19934JL	Saccharide	951.354329515	1189.6203807	G73004SD	G31126EW	G06104DC	5
G19935MZ	Saccharide	2571.92028737	3188.60889045	G29851JI	G52264SX	G19935MZ	13
G19943KG	Saccharide	1318.50217569	1654.87777737	G26195QL	G89516XH	G69430SP	7
G19949UL	Saccharide	1398.50190098	1776.92445287	G96042XF	G98643XP	G42276OB	8
G19954GM	Topology	2604.93051773	3235.63477088	G15622GU	G73360PF	G19954GM	14
G19958IL	Saccharide	2044.69754491	2577.29224757	G83460ZZ	G91301DM	G27502BJ	12
G19962EA	Saccharide	853.306316675	1077.5567178	G54630CD	G31022UW		5
G19968XU	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G50236GJ	4
G19972QF	Topology	1893.69709132	2370.2291937	G54095VB	G54493PD	G19972QF	11
G19977LA	Saccharide	600.20139797	754.37354874	G28155JW	G75346VK	G01696BA	3
G19979XJ	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G44029SF	4
G19986LE	Topology	1331.37703476	1653.73698636	G38052JH	G77253IQ	G19986LE	7
G19990PZ	Saccharide	2198.72886182	2689.27661427	G19990PZ			11
G19992GW	Topology	2442.87769423	3031.53499717	G17168EK	G44930VK	G19992GW	13
G19996OB	Topology	1398.50190098	1776.92445287	G96042XF	G90743YS	G19996OB	8
G19997MG	Topology	1622.54522241		G56577ZU	G43159UR	G19997MG	7
G20001EP	Topology	1039.37037354	1305.66772487	G49139YY	G71918XM	G20001EP	5
G20009FG	Saccharide	2239.79832162	2786.40867436	G92357TM	G76932ZZ	G59240OT	12
G20009SF	Saccharide	675.258578545	843.446379385	G82458HY	G22979OY	G27653YS	4
G20015ZD	Saccharide	383.142760805	495.267961365	G43417UB		G20015ZD	2
G20016GC	Saccharide	879.333200115	1117.5992513	G39041KZ	G09327UV	G83897FM	4
G20018DL	Saccharide	2516.9144737	3119.58742671	G49739MP	G83783DS	G08488JZ	14
G20021PB	Saccharide	1560.55472448	1981.02422658	G91621FZ	G91614MN	G39049JX	9
G20030CU	Saccharide	1722.64527083	2129.09912286	G83633GK	G30306AR	G61136BX	9
G20030UJ	Composition	2347.86573257	2922.50738544	G52971JG	G20030UJ		14
G20034JD	Composition	1437.51280002	1801.91970183	G39446WN	G20034JD		8
G20034RK	Saccharide	1558.53907441	1964.99292644	G31852PQ	G45552IY	G97518YS	9
G20044TD	Saccharide	422.07302629	520.18257678	G59365RI	G59271KV	G73501LG	2
G20045DK	Topology	1722.64527083	2129.09912286	G83633GK	G30306AR	G20045DK	9
G20054JA	Saccharide	3520.26371785	4347.18707197	G56974XT	G94295ZU	G28360UC	18
G20057BO	Saccharide	2046.75091783	2537.29867028	G43769HG	G03539UU	G46448VV	11
G20059NZ	Saccharide	732.28004228	914.48349319	G94583DZ	G61985YC	G83827QM	4
G20061PF	Composition	1547.52442735	1939.96262931	G31368HD	G20061PF		6
G20061RO	Saccharide	1023.37545891	1275.65716017	G12344AO	G50498MJ	G42762AJ	5
G20063FD	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G93954NW	8
G20064NM	Saccharide	1218.43851278	1526.78281432	G82364UA	G32116PG	G00396DP	7
G20066VZ	Topology	2135.78736296	2640.35076549	G29651HS	G14719NG	G20066VZ	12
G20076CD	Saccharide	2588.9356031	3205.62420618	G72601ZT	G49241TZ		14
G20079RG	Saccharide	1827.6766306	2262.16178277	G68318VE	G80294ZS	G47133WV	10
G20088JQ	Saccharide	2118.77204723	2623.33544975	G26469QK	G51359PF	G35118MS	11
G20096RP	Saccharide	2280.82487073	2827.43522346	G81088WT	G08819PX	G14392SI	12
G20100CF	Topology	3390.2007236	4203.10842766	G35280FV	G65937TS	G20100CF	17
G20102QS	Topology	3171.12643637	3927.97154015	G83744JN	G40360IE	G20102QS	16
G20113TH	Saccharide	2255.79323626	2816.41923906	G55568ER	G79160YE	G18767HP	12
G20131KD	BaseComposition	2046.71319498	2593.32354771	G20131KD			12
G20140JS	Saccharide	1568.57104322	1975.02489525	G94544IJ	G14294WH	G35814ZW	8
G20146LZ	Saccharide	1437.51280002	1801.91970183	G39446WN	G80212LK	G38337GU	8
G20158CE	Saccharide	1679.5653488	2128.06615105	G45703RF	G65917JH	G49214RV	10
G20161ZL	Topology	3073.05327139	3843.91402524	G90100DB	G58473YB	G20161ZL	15
G20163DC	Saccharide	1217.41811167	1539.77806328	G51662LG	G20163DC		6
G20163DJ	Saccharide	1391.50732068	1727.88292236	G84164DF	G99834WZ	G76576GA	8
G20164PT	Saccharide	953.369979585	1205.65168084	G98533XR	G36610AR	G89571JU	5
G20170YB	Saccharide	2233.83537581	2752.41442839	G06853GH	G39592HT	G14554IP	12
G20172ET	Saccharide	2881.0262687	3595.82442227	G65117IS	G78221KA	G25467PR	14
G20173ZW	Saccharide	1640.59217262	2047.04602465	G10486CT	G46544JG	G69030BZ	9
G20174EZ	Composition	627.248682515	781.420833285	G40740AD	G20174EZ		3
G20174ZL	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G93458GZ	8
G20176SH	Saccharide	1800.62934605	2249.13014829	G25571PV	G51853HW	G46907AV	9
G20176YB	Saccharide	1023.37545891	1275.65716017	G12344AO	G50498MJ	G43315LE	5
G20178AP	Topology	2661.95198146	3306.67188468	G01791IN	G97763ON	G20178AP	14
G20180GO	Saccharide	1875.68652662	2324.18732886	G06231AO	G49813VI	G14029LK	11
G20181YJ	Topology	2458.87260886	3061.54556187	G53660UR	G17965US	G20181YJ	13
G20191HY	Saccharide	1729.62861776	2150.09811986	G27622TD	G26591JV	G30738AJ	10
G20208VO	Saccharide	836.29100094	1060.54140206	G63053UD	G97203HL	G82184VE	4
G20210OT	Saccharide	1267.40074708	1561.72939854	G14378SA	G34364AA	G36226TU	6
G20212GT	Saccharide	1720.59189791	2169.09270015	G62765YT	G21194PE	G09771GJ	10
G20218ZS	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G27860IO	11
G20222KH	Saccharide	1097.41223838	1363.70958971	G02809YH	G23960RZ	G77690ZC	6
G20242KC	Topology	1771.65041583	2220.15121807	G56656NW	G52639FD	G20242KC	9
G20254HG	Topology	1261.48071195	1583.84066356	G45851AI	G57176DC	G20254HG	7
G20257WW	Saccharide	2222.78300589	2769.39335862	G49174JP	G73366EA	G30444XG	11
G20262BO	Saccharide	830.32805512	1026.5471561	G84435MS	G11427SW	G57309FD	4
G20264TJ	Topology	1080.39692265	1346.69427398	G42613QM	G01254YI	G20264TJ	5
G20264YL	Saccharide	1521.5815483	1900.00410019	G78480MT	G26321KS	G61609GF	8
G20265RJ	Saccharide	2418.86646086	3007.5237638	G46784SU	G83549WW	G88068NL	14
G20266PH	Saccharide	2425.8623785	3014.51968144	G92821OG	G73510JF	G35465JY	12
G20269BE	Topology	1813.69736604	2248.18251821	G08188KN	G61181GX	G20269BE	10
G20284VH	Saccharide	2223.80340699	2756.39810966	G83282IU	G79625ND	G02079RR	12
G20295SP	Saccharide	2879.01061863	3579.79312213	G98715EM	G58318SA	G07363AF	14
G20295UM	Topology	3390.2007236	4203.10842766	G35280FV	G65937TS	G20295UM	17
G20299PF	Saccharide	2384.83582939	2973.49313233	G63614XZ	G87834OS	G09201HE	12
G20303IY	Saccharide	545.195584305	699.367735075	G05394UY	G35447RX	G54807JV	3
G20305DX	Saccharide	3466.25315315	4293.17650727	G15127JD	G97743NA	G65284HT	19
G20309KB	BaseComposition	1321.42907034	1685.83597215	G20309KB			6
G20320OP	Topology	1072.38060391	1352.69360531	G92050GC	G38754EC	G20320OP	6
G20322GS	Saccharide	1396.48625091	1760.89315273	G41247ZX	G23768YE	G51896LY	8
G20326RF	Saccharide	666.2218587	862.44095968	G90306QO	G88288TV	G93921SI	4
G20332TP	Topology	3228.14790011	3999.00865396	G91115CE	G77503JL	G20332TP	16
G20343BM	Topology	1989.7294541	2466.26155647	G85740DB	G64730RH	G20343BM	11
G20352YV	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G20358OC	Saccharide	2604.93051773	3235.63477088	G15622GU	G73360PF	G97986JS	14
G20363CT	Saccharide	1728.60821665	2163.09336882	G68190MT	G52428WX	G96550GT	9
G20366LO	Saccharide	2019.70363329	2524.2670358	G75764QI	G43275VO	G33365UE	10
G20367UY	Saccharide	3535.23823137	4390.19288564	G90032FM	G13592BC	G31449NI	17
G20372QO	Saccharide	1243.47014726	1537.79879873	G61099GA	G06194QO	G50183RQ	7
G20377JL	Topology	2645.95706684	3276.66131999	G07238DT	G32225EF	G20377JL	14
G20380YV	Topology	1720.59189791	2169.09270015	G62765YT	G21194PE	G20380YV	10
G20385LZ	Saccharide	504.1690352	658.34118597	G39365VM	G39466FU	G67275JN	3
G20391ZE	Composition	570.22721878	710.38371948	G06042JP	G20391ZE		3
G20392AW	Topology	1769.63476576	2204.11991793	G54498TF	G11545WS	G20392AW	9
G20393XK	Saccharide	836.29100094	1060.54140206	G63053UD	G55677NY	G33885RT	4
G20397IQ	Saccharide	965.333594075	1217.61529533	G15864IF	G08570DT	G35852EH	4
G20403OQ	Composition	2675.93124602	3334.66679931	G75782KF	G20403OQ		13
G20415OQ	Saccharide	545.195584305	699.367735075	G05394UY	G02653CW	G05260KF	3
G20420WT	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G64014BL	2
G20421JX	Saccharide	837.311402045	1047.54615309	G67199LR	G43311SI	G81406BI	5
G20423ED	Saccharide	869.301231305	1107.56728249	G15666IG	G13628FE	G05227QH	5
G20423IX	Saccharide	180.0633882	250.14163855	G81399MY	G80753ZP	G37736TM	1
G20426LM	Saccharide	3977.44325812	4916.49181281	G52687MJ	G39668NE	G57772SP	22
G20437OJ	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G59160NT	4
G20440GC	Saccharide	1608.60234336	1987.02489525	G61855PQ	G49358BI	G27439WA	9
G20453WS	Saccharide	1244.46539622	1566.82534783	G32992RP	G42606XT	G49622ZO	6
G20455KP	BaseComposition	2969.04231273	3697.85611637	G20455KP			15
G20463HA	Saccharide	1882.64472141	2373.19247386	G80920RR	G22428GQ	G05479GT	11
G20475UC	Saccharide	1925.72464343	2374.22544568	G73430PD	G53049OY	G73697YX	10
G20487QO	Saccharide	1072.38060391	1352.69360531	G66538GV	G18274YO	G58858DY	6
G20490FL	Saccharide	1566.55539315	1958.99359511	G12456LJ	G20490FL		8
G20510FY	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER		14
G20516BM	Topology	965.333594075	1217.61529533	G15864IF	G38539SC	G20516BM	4
G20522WI	Saccharide	3101.12095704	3843.95041075	G39471UU	G64858OY	G88494BA	17
G20523OQ	Topology	1404.50256965	1754.8938214	G49155EM	G82408LA	G20523OQ	7
G20530RF	Saccharide	2011.64440384	2474.16085616	G38664NZ	G20530RF		10
G20538OA	Saccharide	2896.02593437	3596.80843787	G41877YR	G42347VK	G06291FA	15
G20544CY	Saccharide	2735.98876094	3394.72431423	G75568BH	G55033UT	G14970HG	15
G20544UR	Saccharide	776.23348603	972.45258701	G33623LN	G67281OF	G62538GO	4
G20548GT	Topology	474.1584705	614.3149712	G81216TA	G15400MJ	G20548GT	3
G20551LK	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH		11
G20558KC	Saccharide	395.106375295		G76650GT	G28863OR	G85752KA	2
G20564XL	Saccharide	3302.18467957	4087.0610835	G61655IQ	G94114XI	G47046YQ	17
G20574UF	Topology	990.3275057	1270.6405071	G32030CB	G00803PJ	G20574UF	6
G20575PK	Topology	1608.60234336	1987.02489525	G61855PQ	G49358BI	G20575PK	9
G20576NE	Saccharide	3066.09507661	3794.90888025	G49844KK	G21620FH	G85389EM	15
G20578GS	Saccharide	1932.70799036	2395.22444267	G60923RB	G00185NL	G79365EN	11
G20582KJ	Saccharide	1144.40173331	1438.73038478	G95024TJ	G14551EO	G13059GA	6
G20591YX	Topology	2619.90503126	3278.64058454	G48475CO	G61641LL	G20591YX	13
G20595AV	Composition	426.18495998	552.32581061	G57089SI	G20595AV		2
G20598MJ	Saccharide	666.2218587	862.44095968	G90306QO	G65968NT	G93472KA	4
G20621ZX	Saccharide	1558.53907441	1964.99292644	G31852PQ	G53642AM	G15806UI	9
G20624LQ	Saccharide	910.32778041	1148.5938316	G28681TP	G71678CK	G03833LE	5
G20626ZV	Topology	513.205755045	639.346605675	G93183TM	G06157WU	G20626ZV	3
G20636FS	Saccharide	3535.23823137	4390.19288564	G90032FM	G13592BC	G66374JF	17
G20652QD	Topology	2733.97311086	3392.70866415	G25569EP	G93563JK	G20652QD	14
G20656CW	Saccharide	367.147846175	465.257396665	G00194GV	G34329HY	G39631KX	2
G20659ZK	Saccharide	383.142760805	495.267961365	G43417UB	G23052ZQ	G74696VO	2
G20662UG	Saccharide	3535.23823137	4390.19288564	G90032FM	G13592BC	G66374JF	17
G20663AI	Saccharide	2005.72436873	2496.27212117	G60033FS	G50293LU	G91496ML	11
G20685TT	Saccharide	2926.99536252	3669.82481623	G34248DA	G20685TT		14
G20692QU	Saccharide	2475.8879246	3078.56087761	G60743GT	G55137LW	G11163NQ	14
G20694YW	Saccharide	2442.87769423	3031.53499717	G17168EK	G44930VK	G66420HM	13
G20697MN	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G03799FY	12
G20697RD	Topology	1168.41296668	1462.74161815	G10057RC	G66639WN	G20697RD	5
G20698EO	BaseComposition	2176.81391207	2681.37731459	G20698EO			12
G20698WZ	Topology	1972.71413836	2449.24624074	G93838EE	G07975HS	G20698WZ	10
G20704OX	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G64642ML	6
G20709RI	Topology	2225.81905706	2772.4294098	G34216OT	G55092AK	G20709RI	12
G20710KU	BaseComposition	2428.89842967	3017.55573261	G20710KU			13
G20711NK	Saccharide	3535.23823137	4390.19288564	G90032FM	G13592BC	G66374JF	17
G20718YD	Saccharide	1113.40715301	1393.72015442	G57317CE	G87030LJ	G10709GF	6
G20719UR	Saccharide	1113.40715301	1393.72015442	G57317CE	G64922VJ	G47052MI	6
G20720CG	Saccharide	2329.83001573	2904.4716686	G27516OE	G94368QI	G21963FV	13
G20724DU	Saccharide	2368.84091476	2943.48256763	G42039FI	G83385WA	G69616RY	12
G20727IV	Topology	2985.03722736	3727.86668107	G14238ED	G88245MJ	G20727IV	15
G20735IM	Saccharide	1204.45924822	1512.80354976	G71711OT	G97529QB		7
G20744OH	Saccharide	3027.08417757	3755.89798121	G25929QB	G21610QZ	G94679DO	16
G20744UW	Saccharide	707.248407805	903.467508785	G08590QR	G40866TN	G63833WU	4
G20746DT	Topology	2425.8623785	3014.51968144	G92821OG	G73510JF	G20746DT	12
G20747JX	Saccharide	1747.63918245	2196.1399847	G33222WI	G25609YM	G98544CD	10
G20747KA	Topology	675.258578545	843.446379385	G82458HY	G22979OY	G20747KA	4
G20749KW	Saccharide	853.269931165	1077.52033228	G20980JF	G34478PN	G77918XD	5
G20751GZ	Saccharide	1462.54443449	1812.93568624	G25987BV	G69032VE	G72398VP	8
G20751TV	Topology	982.34890981	1234.63061107	G25807NR	G60985VF	G20751TV	5
G20757EV	Saccharide	2019.70363329	2524.2670358	G75764QI	G43275VO	G97760FF	10
G20758LC	Saccharide	4120.46511582	5101.56062072	G53751GY	G95266RC	G51588IU	21
G20767LB	Saccharide	2281.84527183	2814.4399745	G69107AL	G28052FS	G53340VK	13
G20768EV	Saccharide	1679.5653488	2128.06615105	G45703RF	G65917JH	G85612WL	10
G20773IW	Saccharide	342.1162117	454.24141226	G90627TW	G90960QG	G20773IW	2
G20779SK	Saccharide	1478.53934912	1842.94625094	G81295CK	G24335BD	G02654ED	8
G20781DL	Saccharide	828.2746822	1066.54073339	G84322TE	G87830MO	G06028TA	5
G20789WJ	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G41211IT	3
G20791NK	Topology	1665.6238071	2058.06200906	G88725PI	G29913WR	G20791NK	9
G20810IQ	Topology	2898.04158444	3598.82408794	G81124ET	G67929YA	G20810IQ	16
G20815TK	Saccharide	2005.72436873	2496.27212117	G60033FS	G50293LU	G91496ML	11
G20816ZE	Saccharide	910.32778041	1148.5938316	G28681TP	G00066WY	G77233DH	5
G20818VS	Saccharide	910.32778041	1148.5938316	G28681TP	G00066WY	G06351IA	5
G20828MB	Saccharide	1302.50726106	1624.86721267	G78881HO	G03700LH	G32063IJ	7
G20841PR	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G20860NB	Saccharide	2283.86092191	2830.47127464	G80497IU	G89486DX		13
G20862VU	Saccharide	488.17412057	628.33062127	G89864HJ	G58169SI	G99029QP	3
G20866ZQ	Saccharide	1152.3803292	1474.74028081	G55913GS	G01190ZZ	G65533MH	7
G20873FQ	Saccharide	2425.8623785	3014.51968144	G92821OG	G73510JF	G35465JY	12
G20873FZ	Saccharide	880.31721571	1104.56761683	G18999EB	G66541DL	G01747AF	5
G20877ZV	Saccharide	3681.29614024	4564.28209465	G08182IE	G96816KA	G63567OG	18
G20879UO	Saccharide	1097.41223838	1363.70958971	G02809YH	G23960RZ	G09182TI	6
G20880WP	Saccharide	1646.38866349	1968.7486151	G20880WP			7
G20881QF	Saccharide	1720.59189791	2169.09270015	G62765YT	G21194PE	G09771GJ	10
G20883QG	Saccharide	2071.78255231	2548.31465468	G67367OT	G97684YT	G05676RG	11
G20885BK	Saccharide	2879.01061863	3579.79312213	G98715EM	G58318SA	G26085RC	14
G20887HP	Saccharide	1533.54516279	1911.96771468	G23293FT	G28640WB	G11061BV	7
G20894MY	Saccharide	1640.59217262	2047.04602465	G10486CT	G73811LP	G19890MT	9
G20905JK	Saccharide	666.178948	806.3354487	G32406CO	G10714EP	G18491BK	3
G20907YR	Topology	504.1690352	658.34118597	G39365VM	G29136NI	G20907YR	3
G20912QY	Saccharide	1720.59189791	2169.09270015	G62765YT	G21194PE	G67272DI	10
G20919FV	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER	G05314WL	14
G20924UR	Saccharide	2516.9144737	3119.58742671	G49739MP	G83783DS	G80536KU	14
G20925AR	Topology	2530.89373826	3147.58234134	G86886TH	G38643YG	G20925AR	13
G20926BB	Saccharide	2587.915202	3218.61945515	G34447YB	G60942FK	G08875HF	13
G20928FE	Topology	957.274364635	1167.50911569	G90558DO	G43315IV	G20928FE	4
G20934TL	Saccharide	4062.42325098	5043.51875588	G77068PP	G20934TL		20
G20934VF	Topology	1234.43342741	1556.79337902	G02815KT	G89929IA	G20934VF	7
G20942TC	Saccharide	1072.38060391	1352.69360531	G66538GV	G12530CV	G75596XQ	6
G20946SK	Saccharide	2735.98876094	3394.72431423	G75568BH	G55033UT	G01779GQ	15
G20953SW	Saccharide	3027.08417757	3769.91363128	G66403JV	G19326PJ	G43454YS	15
G20956ZK	Saccharide	1462.54443449	1812.93568624	G25987BV	G65996UU	G30215PM	8
G20956ZV	BaseComposition	1056.38568928	1322.68304061	G20956ZV			6
G20957WZ	Saccharide	342.1162117	454.24141226	G90627TW	G91902ZT	G15765GX	2
G20959ZC	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G20965WY	Saccharide	1642.60782269	2063.07732479	G35238PC	G53667BL	G01079BO	9
G20966IA	Saccharide	2222.78300589	2769.39335862	G49174JP	G73366EA	G97599MN	11
G20966TZ	Saccharide	1640.59217262	2047.04602465	G10486CT	G23794VW	G72957RE	9
G20980JF	BaseComposition	853.269931165	1077.52033228	G20980JF			5
G20983SP	Saccharide	3884.37551284	4809.40841747	G80746IL	G14590NM	G48507IY	19
G20991HR	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G20993TP	Saccharide	1185.42828241	1479.75693389	G97887RK	G94827CQ	G35580MO	6
G20996LA	Saccharide	586.22213341	740.39428418	G58001LT	G93562NG	G71820JW	3
G20998ZT	BaseComposition	2766.98334123	3439.73454459	G20998ZT			15
G21001NA	Saccharide	1396.48625091	1760.89315273	G41247ZX	G69667ML	G79234KH	8
G21005TQ	Saccharide	1566.55539315	1958.99359511	G12456LJ	G11339YA	G29427JP	8
G21010JT	Saccharide	3172.12168533	3956.99808926	G78306NB	G62434WC	G90917IC	15
G21010YO	Saccharide	2661.95198146	3306.67188468	G01791IN	G97763ON	G59722IA	14
G21013JK	Saccharide	3466.25315315	4293.17650727	G15127JD	G97743NA	G65284HT	19
G21028JD	Saccharide	504.1690352	658.34118597	G39365VM	G89489JX	G68750IZ	3
G21028RE	Topology	1289.43924107	1625.81484275	G77976VJ	G94660EY	G21028RE	6
G21044EL	Saccharide	1964.69781962	2455.24557207	G76613WN	G21044EL		11
G21050RT	Saccharide	3425.25175618	4224.14381017	G43806FA	G84616GD	G60787GY	20
G21066IE	Saccharide	998.34382444	1264.64117577	G14090IF	G08718YM	G78620TU	5
G21067JW	Saccharide	853.306316675	1077.5567178	G54630CD	G82935CH	G57089NP	5
G21071II	Saccharide	2077.74549812	2582.30890064	G70382FA	G27058EU	G69350OZ	11
G21072IJ	Saccharide	2879.01061863	3579.79312213	G98715EM	G58318SA	G12628QL	14
G21075OQ	Topology	1989.7294541	2466.26155647	G85740DB	G64730RH	G21075OQ	11
G21078FZ	Saccharide	2094.76081386	2599.32421638	G16175ZV	G76776CG	G10012LW	12
G21079PB	Saccharide	586.22213341	740.39428418	G32550BI	G92411CL	G08137JI	3
G21080BP	BaseComposition	1816.62426068	2279.14071299	G21080BP			9
G21080QF	Saccharide	2030.63245895	2451.10196105	G21080QF			10
G21095ZM	Topology	1583.57070888	1976.00891084	G15486FH	G07564NA	G21095ZM	9
G21097FW	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G86240AI	2
G21100JS	Saccharide	2646.97746794	3263.66607102	G34852SB	G28483HE		15
G21108AJ	Saccharide	690.23309207	886.45219305	G32118LZ	G69538RU	G04760HF	3
G21109IJ	Saccharide	312.105647	410.21519749	G25325JY	G96227FY	G99271MV	2
G21109OS	Saccharide	2036.71894902	2541.28235154	G67733JP	G75566BJ	G42184CY	11
G21110GE	Saccharide	586.22213341	740.39428418	G58001LT	G59848RU	G03861DB	3
G21112KH	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G10328BW	12
G21113AK	Saccharide	1072.38060391	1352.69360531	G92050GC	G12530CV	G77196BU	6
G21118MX	Saccharide	1868.7031797	2303.18833187	G55382TU	G98288RW	G56707GU	10
G21124ZI	Topology	2118.77204723	2623.33544975	G26469QK	G11568WU	G21124ZI	11
G21130YG	Topology	1552.57612859	1945.01433055	G56935KO	G32869VI	G21130YG	8
G21147QJ	Topology	1462.54443449	1812.93568624	G25987BV	G65996UU	G21147QJ	8
G21155MW	Topology	1275.45997651	1597.81992812	G57776ZU	G27821VZ	G21155MW	7
G21167SG	Saccharide	2662.97238257	3293.67663572	G02287BL	G84058QX	G34684DG	15
G21168QR	Saccharide	1626.61290806	2033.06676009	G17400PC	G96007CN	G50187ZX	9
G21170XT	Saccharide	1747.63918245	2196.1399847	G33222WI	G25609YM	G35949WQ	10
G21174KE	Saccharide	1186.44868352	1466.76168492	G67531TM	G16479OO	G35048SX	7
G21193WJ	Saccharide	1451.49206458	1829.91461646	G29871AR	G21193WJ		7
G21194PE	Composition	1720.59189791	2169.09270015	G62765YT	G21194PE		10
G21196UL	Saccharide	1558.53907441	1964.99292644	G31852PQ	G18662IW	G44576SJ	9
G21200JO	Topology	1866.60689608	2287.07639818	G63236GA	G34574WR	G21200JO	10
G21203GT	Saccharide	878.33795115	1088.5727022	G05460KC	G54109CJ	G69596LY	5
G21211KU	Saccharide	2587.915202	3218.61945515	G34447YB	G60942FK	G28286QK	13
G21212XH	Topology	2014.76108857	2477.27754088	G59540CB	G45074QQ	G21212XH	11
G21217ZJ	Topology	1973.73453947	2436.25099178	G19379ID	G04604QI	G21217ZJ	11
G21218WO	Saccharide	1827.6766306	2262.16178277	G68318VE	G80294ZS	G90079JP	10
G21219OJ	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G21222YH	Saccharide	1201.42319704	1509.76749859	G75998XY	G80130HV		6
G21241VN	Saccharide	2061.7505835	2552.29833594	G96356PZ	G85882VQ	G31467VP	11
G21246OH	Saccharide	2030.7560032	2507.28810558	G56610MH	G52494WI	G01202UA	11
G21246WW	Saccharide	789.301506015	985.520606995	G88713AC	G08017ND	G29031ZI	4
G21251LN	Saccharide	1521.5815483	1900.00410019	G78480MT	G26321KS	G03231HO	8
