term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
Blood group A (Type 4),GD000028,G37830TX,"Moreover, we have found that αGal, but not αGalNAc, is a weak binder itself for DC-SIGN, which could endow an additional binding mode for the blood group B antigen, but not for blood group A.[PMID:31283166]",7800218|7521740|2458640|31283166,,GlycoMotif:GGM.000088|CID:91852258|KEGG:G00474|CHEBI:150159|SugarBind_Ligand:48,GlycoMotif:GGM.000088|GTC:G37830TX|CID:91852258|KEGG:G00474|CHEBI:150159|SugarBind_Ligand:48,,,Pyelonephritis[SugarBind_Ligand:48]|Acute cystitis[SugarBind_Ligand:48],,
Blood group A trisaccharide,GD000029,G00066MO,A readily detectable carbohydrate in the urine of two siblings with neuronal ceroid lipofuscinosis was found to be the blood group A trisaccharide.[PMID:7249368],19582848|7249368|8774717|2749874|28771597|30619340|2122121|11886841|2991755|12588002|3149698|7048329|7015594|10359132|8724140|1418679|1446307,A branched amino trisaccharide consisting of β-D-galactose having an α-L-fucosyl residue at the 2-position and an N-acetyl-α-D-galactosaminyl residue at the 3-position.[CHEBI:61012],GlycoEpitope:EP0255|CID:49852448|KEGG:G10638|CHEBI:61012,GlycoEpitope:EP0255|GTC:G00066MO|CID:49852448|KEGG:G10638|CHEBI:61012,blood group A trisaccharide|blood group A type 1 trisaccharide,,,,
Blood group A(1),GD000030,G66163TI,"he basis of blood group A(1) and A(2) phenotypes has been debated for many decades, and still the chemical basis is unresolved. [PMID:19121199]",10942408|19121199,An α-D-GalpNAc-(1→3)-[α-L-Fucp-(1→2)]-β-D-Galp-(1→3)-D-GlcpNAc having β-configuration at the reducing end anomeric centre.[CHEBI:62485],GlycoMotif:GGM.000044|GlycoEpitope:EP0256|CID:53262359|CHEBI:62485,GlycoMotif:GGM.000044|GTC:G66163TI|GlycoEpitope:EP0256|CID:53262359|CHEBI:62485,Blood group A (type 1)|blood group A antigen type 1,,,,
Blood group A1 (type 3),GD000031,G44060QH,The structure is essentially a repetitive A epitope attached to type 2 chain and is hereby called type 3 chain A. [PMID:2579390],2579390|19756298,A branched amino heptasaccharide made up from two repeating (1→3)-linked N-acetyl-α-D-galactosaminyl-(1→3)-[α-L-fucosyl-(1→2)]-β-D-galactosyl units that are in turn joined to an N-acetyl-β-D-glucosamine residue via a (1→4)-linkage.[CHEBI:85665],CHEBI:85665|CID:91825676|GlycoMotif:GGM.000040,GTC:G44060QH|CHEBI:85665|CID:91825676|GlycoMotif:GGM.000040,Blood group A1 (type 3)|Blood Group A1,,,,
Blood group A2 (A-associated H type 3),GD000032,G62735WZ,"The 'H NMR spectrum of the Aassociated H antigen (type 3 chain H) was characterized by
 the unusual presence of three n-anomeric resonances ('CJ'.~ =
 3-4 Hz) in addition to five resonances from @-anomeric protons (""J1:2 = 7-9 Hz).[PMID: 3944091]",3944091,A branched amino hexasaccharide in which an α-L-fucosyl-(1→2)-β-D-galactosyl-(1→3)-N-acetyl-α-D-galactosaminyl-(1→3)-β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosamine linear pentasaccharide carries at the galactose residue proximal to the reducing end a second α-L-fucosyl residue via a (1→2) linkage.[CHEBI:152543],CHEBI:152543|CID:91852328|GlycoMotif:GGM.000041,CHEBI:152543|CID:91852328|GlycoMotif:GGM.000041|GTC:G62735WZ,Blood Group A2|Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb|Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)b-GlcNAc|Fucalpha1-2Galbeta1-3GalNAcalpha1-3(Fucalpha1-2)Galbeta1-4GlcNAcbeta|6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)-beta-D-galacto-hexopyranosyl-(1→3)-2-acetamido-2-deoxy-alpha-D-galacto-hexopyranosyl-(1→3)-[6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)]-beta-D-galacto-hexopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-gluco-hexopyranose|6-deoxy-alpha-L-galactopyranosyl-(1→2)-[6-deoxy-alpha-L-galactopyranosyl-(1→2)-beta-D-galactopyranosyl-(1→3)-2-acetamido-2-deoxy-alpha-D-galactopyranosyl-(1→3)]-beta-D-galactopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-glucopyranose,,,,
Blood group B (Type 1),GD000033,G31734OS,"It has been unknown whether NoV distinguishes between the type 1 and type 2 chains of A and B antigens. In this study, we synthesized A type 1, A type 2, B type 1, and B type 2 pentasaccharides in vitro and examined the function of the core structures in the binding between NoV virus-like particles (VLPs) and HBGAs. [PMID: 18701592]",18701592|24749871|19387828|19208633|29562255,α-D-Galp-(1→3)-[α-L-Fucp-(1→2)]-β-D-Galp-(1→3)-β-D-GlcpNAc with β configuration at the anomeric carbon of the GlcNAc residue at the reducing end.[CHEBI:63242],GlycoMotif:GGM.000043|CID:56927779|CHEBI:63242,GlycoMotif:GGM.000043|GTC:G31734OS|CID:56927779|CHEBI:63242,blood group B type 1 tetrasaccharide,,,,
Blood group B (Type 2),GD000034,G34881WK,The detection of a B type 2 determinant is the first chemical evidence for the presence of an autologous difucosyl blood group B type 2 antigen in human adenocarcinoma cells.[PMID:2432062],2432062|27196314|18701592,,GlycoMotif:GGM.000037|GTC:G34881WK|GlycoEpitope:EP0262|GlycoMotif:GGM.000037,GlycoMotif:GGM.000037|GTC:G34881WK|GlycoEpitope:EP0262,blood group B type 2,,,,
Blood group B (Type 4),GD000035,G25216QA,The blood group B type-4 heptaglycosylceramide is a minor blood group B structure in human B kidneys in contrast to the corresponding A type-4 compound in A kidneys.[PMID:1390942],1390942|1841684,,GlycoMotif:GGM.000087,GlycoMotif:GGM.000087|GTC:G25216QA,,,,,
Blood group H (Type 1),GD000036,G00294TN,"Blood group H type 1 [Fuc alpha (1,2)Gal beta (1,3)GlcNAc beta-->] is known as the precursor structure of the blood group determinant, Lewis b [Fuc alpha (1,2)Gal beta (1,3)(Fuc alpha (1,4))GlcNAc beta-->].[PMID:7718581]",7718581|6309836|19208633|27431816|2432062|24219248|6352465|8499478|3348768|3718924,,GlycoMotif:GGM.000042|SugarBind_Ligand:153,GTC:G00294TN|GlycoMotif:GGM.000042|SugarBind_Ligand:153,H type 1,,Gastroenteritis[SugarBind_Ligand:153],,
Blood group H (type 2),GD000037,G00052MO,"We have examined the immunohistochemical distribution of H Type 1 and of H Type 2 substances of the ABO blood group system in human submandibular gland using either of the two anti-H monoclonal antibodies MAb 1E3 and MAb 3A5. MAb 3A5 was specific for H Type 2, and MAb 1E3 reacted with each of H Type 1-H Type 4 artificial antigens.[PMID:9405495]",9405495|8082855|6177241|3944092|21406562|2410664|8731502|6203846|2238560|,A branched amino tetrasaccharide consisting of N-acetyl-β-D-glucosamine at the reducing end having an α-L-fucosyl residue attached at the 3-position and an α-L-fucosyl-(1→2)-β-D-galactosyl moiety attached at the 4-position. A cancer-associated tetrasaccharide antigen which constitutes the core structure recognised by therapeutic antibody BR96. Conformational restriction around the GlcNAc residue is a key feature of its structure.[CHEBI:59045],GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000036,GTC:G00052MO|GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000036,Lewis y|Blood group H (type 2) (Ley)|Lewis b (Leb)|Lewis a|Blood group H (type 2) (Lewis Y)|Lewis b (Lewis b)|Blood group H (type 2) - Lewis y|H-Ley|H-Le^y|Lewis Y|6-deoxy-alpha-L-galactopyranosyl-(1→3)-[6-deoxy-alpha-L-galactopyranosyl-(1→2)-beta-D-galactopyranosyl-(1→4)]-2-acetamido-2-deoxy-beta-D-glucopyranose|alpha-L-Fuc-(1→2)-beta-D-Gal-(1→4)-[alpha-L-Fuc-(1→3)]-beta-D-GlcNAc|alpha-L-Fucp-(1→2)-beta-D-Galp-(1→4)-[alpha-L-Fucp-(1→3)]-beta-D-GlcpNAc|Fucalpha1-2Galbeta1-4(Fucalpha1-3)GlcNAcbeta|Fucalpha1-3(Fucalpha1-2Galbeta1-4)GclNAc|Lewis y Tetrasaccharide,The expression of the fucosylated histo-blood group antigen CD174 in CD34+ hematopoietic progenitor cells and down-regulation of FUT1 in mature lymphocytes may be important factors influencing the homing process of hematopoietic stem cells to the bone marrow.[GlycoEpitope:EP0018],"AIDS/acquired immune deficiency syndrome[GlycoEpitope:EP0018]|cholangiocarcinoma[GlycoEpitope:EP0018]|hepatocellular carcinoma[GlycoEpitope:EP0018]|Inappropriate tissue distribution of Ley blood-group antigens was observed in CCs(cholangiocarcinomas) and, much less frequently, in HCCs(hepatocellular carcinomas).[GlycoEpitope:EP0018]|Ley determinant is highly expressed in human immunodeficiency virus (HIV)-infected T cell lines and in CD3+ peripheral mature T cells of patients with acquired immune deficiency syndrome (AIDS) or with AIDS-related complex (ARC).[GlycoEpitope:EP0018]",,
Blood group H (type 2) - Lewis y,GD000038,G00052MO,"The fucosylated histo-blood group antigens H type 2 (blood group O, CD173) and Lewis Y (CD174) are expressed on CD34+ hematopoietic progenitors but absent on mature lymphocytes.[PMID: 11479278]",11479278,A branched amino tetrasaccharide consisting of N-acetyl-β-D-glucosamine at the reducing end having an α-L-fucosyl residue attached at the 3-position and an α-L-fucosyl-(1→2)-β-D-galactosyl moiety attached at the 4-position. A cancer-associated tetrasaccharide antigen which constitutes the core structure recognised by therapeutic antibody BR96. Conformational restriction around the GlcNAc residue is a key feature of its structure.[CHEBI:59045],GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000045,GTC:G00052MO|GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000045,Lewis y|Blood group H (type 2) (Ley)|Lewis b (Leb)|Lewis a|Lewis b (Lewis b)|Blood group H (type 2) - Lewis y|H-Ley|H-Le^y|Lewis Y|H-Ley|H-Le^y|Lewis Y,The expression of the fucosylated histo-blood group antigen CD174 in CD34+ hematopoietic progenitor cells and down-regulation of FUT1 in mature lymphocytes may be important factors influencing the homing process of hematopoietic stem cells to the bone marrow.[GlycoEpitope:EP0018],"AIDS/acquired immune deficiency syndrome[GlycoEpitope:EP0018]|cholangiocarcinoma[GlycoEpitope:EP0018]|hepatocellular carcinoma[GlycoEpitope:EP0018]|Inappropriate tissue distribution of Ley blood-group antigens was observed in CCs(cholangiocarcinomas) and, much less frequently, in HCCs(hepatocellular carcinomas).[GlycoEpitope:EP0018]|Ley determinant is highly expressed in human immunodeficiency virus (HIV)-infected T cell lines and in CD3+ peripheral mature T cells of patients with acquired immune deficiency syndrome (AIDS) or with AIDS-related complex (ARC).[GlycoEpitope:EP0018]",,NBK453042
Blood group H (Type 4),GD000039,G98465JN,"In addition, the blood group H type 4 chain structure was present together with Le(a) and Le(b) compounds.[PMID:1841684]",11261842|1841684|11101633|9405495,"An amino hexasaccharide consisting of α-L-fucose, β-D-galactose, N-acetyl-α-D-galactosamine, α-D-galactose, β-D-galactose and β-D-glucose residues joined in sequence with (1→2)-, (1→3)-, (1→3)-, (1→4)- and (1→4)-linkages, respectively.[CHEBI:65245]",GlycoMotif:GGM.000086|GTC:G98465JN|CID:10260428|SugarBind_Ligand:61|CHEBI:65245,GlycoMotif:GGM.000086|GTC:G98465JN|CID:10260428|SugarBind_Ligand:61|CHEBI:65245,,,Pyelonephritis[SugarBind_Ligand:61],,
C2-O-sLex,GD000040,G97345NY,"PSGL-1 lacks 6-sulfo-sLex but contains sulfated tyrosine residues (Tyr-SO3)at positions 46, 48, and 51 and sLex in a core 2-based O-glycan (C2-O-sLex) on Thr at position 57.[PMID:12736247]",12736247|19267921|21283832|15596301|17072011,"A seven-membered branched galactosamine oligosaccharide that consists of a branched tetrasaccharide unit α-Neu5Ac-(2→3)-β-D-Gal-(1→4)-[α-L-Fuc-(1→3)]-β-D-GlcNAc, attached by a glycosidic linkage to position 6 of the GalNAc residue of the trisaccharide α-Neu5Ac-(2→3)-β-D-Gal-(1→3)-D-GalNAc.[CHEBI:65192]",GlycoMotif:GGM.000053|CID:91860725|KEGG:G10899|CHEBI:155160,GlycoMotif:GGM.000053|GTC:G97345NY|CID:91860725|KEGG:G10899|CHEBI:155160,,,,,
Ceramide dihexosyl sulfate,GD000041,G04416BG,"Although it has been reported that ceramide dihexosyl sulfate is present in human kidney, it is unlikely that it is present in equine kidney.[PMID:818074]",818074,"A sulfatide with two hexose moieties (glucose and galactose) has been isolated from human kidney (Martensson E, Acta Chem Scand 1963, 17, 1174). Equimolar amounts of ceramide, glucose, galactose, and sulfate are found in the molecule. The sulfate group is esterified, as in sulfatides, with carbon 3 of the galactose moiety. The linkage between galactose and glucose is identical to lactose (b-1-4). Its fatty acid composition is similar to that of sulfatides.[http://cyberlipid.gerli.com/description/complex-lipids/glycolipids/glycosphingolipids/sulfosphingolipids/]",GlycoMotif:GGM.000065,GTC:G04416BG|GlycoMotif:GGM.000065,,,,,
Chitin,GD000042,,"In this review, we will focus on the prevalence and structural function of chitin in bacteria, fungi, and protists, with a particular focus on the evolution of chitin synthases and the function of chitin oligosaccharides as a signaling molecule in symbiosis and immunity[PMID: 31102241]",25738328|31102247|26982439|31685194|29197571|29182521|25725011|27787767|21736263|25300540|30840869|25081074|28250359|29763421|29910219|20161969|32019265|30879650|12587986|29773374|31376451|10906950|26096004|25595947|21673932|29452181|24083454|10856926|22732132|18657571|29175166|28842199|27592817|27302593|27339323|12705640|31635752|31063786|31151236|25940531|26093316|28962761|28093332|30875044|27723949|28119189|30600008|25081085|21673932,An aminoglycan consisting of β-(1→4)-linked N-acetyl-D-glucosamine residues.[CHEBI:17029],CHEBI:17029,CHEBI:17029,,,,,
Chondroitin sulfate,GD000043,,The industrial production of chondroitin sulfate (CS) uses animal tissue sources as raw material derived from different terrestrial or marine species of animals.[PMID: 31013685],31013685|27526113|27194526|26980567|28847361|24413804|29891297|29600622|25129732|31317901|29181550|31250530|22265655|25756648|29402610|17928217|20236040|28091940|30824935|26572336|31207331|21110089|30599999|20399897|27226567|19388612|23186102|31494830|28982096|30241863|30295666|25366475|20521042|29456007|31304829|18661362|28576008|29494632|30016441|26906924|24861964|23774590|31887904|31339761|12512856|26957048|29625000,"Any of a class of 10‚Äî60 kDa glycosaminoglycan sulfates, widely distributed in cartilage and other mammalian connective tissues.[CHEBI:37397]",CHEBI:37397|CID:24766,CHEBI:37397| CID: 24766,chondroitin polysulfate|chondroitin sulfate|chondroitin sulfates|chondroitin sulfuric acid|chondroitin sulphate|Chondroitinsulfate,,,,
cisGM1,GD000044,G03277YI,Macrophage ganglioside patterns dramatically increase in complexity when murine peritoneal macrophages are stimulated in vivo with the appearance of the sialidase-sensitive monosialoganglioside GM1b (cisGM1) as a major component.[PMID: 9455923],9455923,"A member of the class of neuraminic acids that is neuraminic acid attached in sequence to β-D-galactopyranosyl, 2-acetamido-2-deoxy-β-D-galactopyranosyl, β-D-galactopyranosyl, and β-D-gucoopyranose units by (2→3), (1→3), (1→4), and (1→4) glycosidic linkages, respectively. It corresponds to the carbohydrate portion of ganglioside GM1b.[CHEBI:145580]",GlycoMotif:GGM.000100|CID:91850212|CHEBI:145580|GlycoEpitope:EP0048|SugarBind_Ligand:92|KEGG:G00125,GlycoMotif:GGM.000100|GTC:G03277YI|CID:91850212|CHEBI:145580|GlycoEpitope:EP0048|SugarBind_Ligand:92|KEGG:G00125,GM1b,,Influenza[SugarBind_Ligand:92],,NBK453054-Chapter 23
Complex-type N-glycans,GD000045,,"In this study, 32 new complex-type glycans are characterized containing the Le(x), Le(Y), and sialyl-Le(x) determinants, the bloodgroup A and H antigens, as well as the ALe(Y) determinant.[PMID:10988252]",29902282|29212795|29343819|27705835|26745022|18399796|16825488|21964725|15864431|22890903|12417032|28039392|19426135|30253927|16794314|19806620|22975979|25931033|15201278|19129634|19129628|24032650|22530754|31021709|30973186|28091941|23115339|20829342|27304954|29090617|21802690|29725121|30471292|16581187|26098720|31080188|1930135|31888963|30844485|24014058|11129583,"Type of N-linked glycan in which at least two antenna are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). Each antenna can be exteneded or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. ",,,,Involved in protein stability.[PMID:12417032],,,NBK453033-Chapter 17
Core 2,GD000046,G00033MO,"To investigate the biological roles of core 2 O-glycans, we produced and characterized mice deficient in one or more of the three known glycosyltransferases that generate core 2 O-glycans (C2GnT1, C2GnT2, and C2GnT3).[PMID: 19349303]",19349303|30315106|23640779|26677400,The trisaccharide β-D-Gal-(1→3)-[β-D-GlcNAc-(1→6)]-D-GalNAc with α configuration at the anomeric centre of the N-acetylglucosamine residue at the reducing end.[CHEBI:62158],CID:52921656|CHEBI:62158,GTC:G00033MO|CID:52921656|CHEBI:62158,,,,,
Core 3,GD000047,G00035MO,"Mechanically, we revealed that mucin-type core 3 O-glycan was synthesized at the membrane-tethered MUC1 N terminus because of core 3 synthase expression in colon cancer cells.[PMID: 28745318]",28745318|27259834|27143302|,An amino disaccharide comprising an N-acetyl-β-D-glucosamine residue linked (1→3) to an N-acetyl-β-D-galactosamine residue at the reducing end.[CHEBI:71344],CID:25061208|CHEBI:71344,GTC:G00035MO|CID:25061208|CHEBI:71344,,,,,NBK453020-Chapter 9
Core 4,GD000048,G00037MO,"The results confirm the predicted existence of a beta1,6GlcNAc-transferase that functions in both core 2 and core 4 O-glycan branch formation.[PMID: 9988682]",9988682|10747980|,"A branched amino trisaccharide comprising an N -acetyl-α-D-galactosamine residue at the reducing end, to which are (1→3)- and (1→6)-linked two N -acetyl-α-D-glucosamine residues.[CHEBI:71341]",CID:25229562|CHEBI:71341,GTC:G00037MO| CID:25229562|CHEBI:71341,,,,,NBK20721-Chapter 8
Core-fucosylated,GD000049,G78059CC,The approach was validated for selective capture and analysis of core fucosylated N-glycans present in complex glycan mixtures derived from mammalian serum IgG.[PMID:27678371],27678371|26514868|15538974|24914453|17049014|32078267|31268672|28674882|29956878|27798819|32044029|30962950|31548313|30907281|29090617|29571940|28800497|27629418|29733746|31623829|28768188|26897254|31451706|26514868|29427759|28982386|26587313|30940702|15538974|31249452|27282921|31229844|30445455|31325506|24732908|29209018|26965517|28609658|24914453|25573275|17049014|19218400|27012207|27139574|32078267|25861849|32561391|21374780|31669139|25732060|29408166|31268672|30472795|30614075|19003000|25664929,"Modification of the N-glycan core structure with fucose moiety attached at the innermost GlcNAc by FUT8 enzyme. Core Fuc is found on paucimannose, hybrid and complex type N-glycans. [https://doi.org/10.1016/bs.acr.2014.11.006].",CID:70679232|CHEBI:70967|CHEBI:156499,GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499,Core Fuc|6-linked Fuc|Fuca6 to chitobiose core|a6-linked Fuc|a1-6 Fuc|Fuca6 to chitobiose core|Fuc a1-6 to chitobiose core|Fuca6 to internal GlcNAc|Fuc a1-6 to internal GlcNAc,"Required for signaling through TCR [PMID: 29434598]|VGF, PDGFr, and EGFr and TGFbeta receptor dysregulation in Fut8 KO mice [PMID:17132494]|IgG-Fcg receptor interactions destabilized by core Fuc [PMID:29062024]",Emphysema|systemic lupus erythematosuslung cancer|autoimmunity|tumor metastasis,,NBK20721-Chapter 8
Core-fucosylated biantennary,GD000050,G78059CC,"The IFN-alpha14c N-glycans were shown to exhibit core-fucosylated biantennary glycans , with about 10% carrying an additional alpha1,3-linked fucose unit at the antennae.[PMID:9654101]",9654101|15819890|28263871|26763099|22256781|23681398|25855029|10529240|26544759|8206921|33149259|8547276,A biantennary glycan with two GlcNAc branches linked to the core and fucosylation on the core GlcNAc.,CID:70679232|CHEBI:70967|CHEBI:156499,GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499,core-fucosylated diantennary,,,,NBK20721-Chapter 8
Core-fucosylated biantennary complex-type,GD000051,G78059CC,The oligosaccharide structure at Asn(32 ) is a mixture of the monosialo and asialo forms of a core fucosylated biantennary complex-type oligosaccharide.[PMID:10731668],10731668,A biantennary complex glycan with two GlcNAc branches linked to the core and fucosylation on the core GlcNAc.,CID:70679232|CHEBI:70967|CHEBI:156499,GTC:G78059CC|CID:70679232|CHEBI:70967|CHEBI:156499,core fucosylated diantennary complex-type,,,,
Cyclic sialyl 6-sulfo Lewis x,GD000052,G80722US,Stimulation of the sialyl 6-sulfo Lewis X-positive colon cancer cell line with a calcium ionophore ionomycin markedly reduced sialyl 6-sulfo Lewis X and induced cyclic sialyl 6-sulfo Lewis X expression.[PMID:10728707],10728707|31222115|9990070|23088960,,GlycoMotif:GGM.000023|GlycoEpitope:EP0015|CID:70698321|CHEBI:71628,GlycoMotif:GGM.000023|GTC:G80722US|GlycoEpitope:EP0015|CID:70698321|CHEBI:71628,,the accumulated intracellular cyclic sialyl 6-sulfo Lex determinant may function as a dormant pool of selectin ligands.[GlycoEpitope:EP0017],,,
Cytolipin R,GD000053,G57710SU,"The reaction can be inhibited completely by pure cytolipin R showing that (a) immune hemolysis can be mediated through lipid determinants in the membrane, and (b) that cytolipin R determinants are present in the intact erythrocyte membrane and exposed on the surface.[PMID:4110375]",893368|4375678|51702|186204|4110375|5068000|24174198|6072378|389925|7054174,A ceramide tetrahexoside isolated from rat lymphosarcoma. The structure of cytolipin R to be N-acetylgalactosaminyl(beta1-->3)galactosyl(alpha1-->3) galactosyl(beta1-->4)glucosyl ceramide.[PMID:5068000],GlycoMotif:GGM.000083|CID:91855936|KEGG:G00392|CHEBI:152175|SugarBind_Ligand:17,GlycoMotif:GGM.000083|GTC:G57710SU|CID:91855936|KEGG:G00392|CHEBI:152175|SugarBind_Ligand:17,,,Actinomycosis[SugarBind_Ligand:17],,
Dermatan sulfate,GD000054,,"By utilizing sophisticated separation methods followed by compositional analysis, domain mapping, and tandem mass spectrometry coupled with analysis by a modified genetic algorithm approach, the structural motif for the decorin dermatan sulfate chain was determined.[PMID:29111696]",27526113|29111696|29891297|26164146|30869126|7789716|8597249|12512856|31250530|17928217|12213784|27226567|31455633|28091940|19075609|31071403|15078125|18661328|20581662|17239765|15749837|2777747|20632047|8930750|7762784|31006321|26876822|1522290|131009|26986023|8161353|15315969|12543559|30637950|2525357|18156656|9692613|9200333|19661164|2299256|16075147|1126924|9774430|8537360|15563459|21077227|23275130|17137817|6447930|6209270,"Any of a group of glycosaminoglycans with repeating units consisting of variously sulfated β1→4-linked L-iduronyl-(α1→3)-N-acetyl-D-galactosamine units.
[CHEBI:18376]",CHEBI:18376|CID:32756,CHEBI:18376| CID: 32756,beta-Heparin|Chondroitin sulfate B|Dermatan L-iduronate,Wound healing[NBK453034-Chapter 7]|maintain the structure of the dermis.[NBK453056-Chapter 41],,,
Desialylated,GD000055,,"Furthermore, we found no evidence for ""desialylated"" apoB100 glycans in any of the samples analyzed.[PMID:11588155]",30015642|26168491|29492899|31774586|32321401|23780974|7600681|18045697|1450583|4137057|28911304|27562992|29950245|31978220|2408573|8612720|10910970|27195066|1434544|22175031|24517196|29794068|30101537|18972200|1478792|4440781|21229239|30844664|31351722|31330845|1872910,A glycan from which sialyl groups have been removed. [https://en.wiktionary.org/wiki/desialylated],,,,,,,
Desialylated tetrasaccharide,GD000056,,"The structures of a desialylated tetrasaccharide , two monosialylated trisaccharides , and five other minor products were defined.[PMID:8384526]",8384526,A tetrasachharide (four branches) glycan from which sialyl groups have been removed. ,,,,,,,NBK453033-Chapter 17
Difucosylated tetra-antennary N-glycans,GD000057,,"While fucosylated N-glycans derived from serum haptoglobin of patients with CP slightly increased, di-fucosylated tetra-antennary N-glycans were observed only at this site in PC patients, and were absent in the haptoglobin of normal controls and individuals with CP.[PMID:18214858]",18214858,The tetra-antennary N-linked glycans that have four GlcNAc branches linked to the core and two fucose added.,,,,,pancreatic cancer[PMID:18214858],,
Dimeric Lewis x,GD000058,G79535HZ,"The carbohydrate antigen dimeric Lewis X (DimLex), which accumulates in colonic and liver adenocarcinomas, is a valuable target to develop anti-cancer therapeutics.[PMID:32957489]",32957489|31276881|12062524|15488731|1979361|8737237|17939723|7683631|11384108|11133015|17388629|15483381|12662048|3233598|18618154|21892456,A six-membered glucosamine oligosaccharide consisting of two repeating units of β-D-Gal-(1→4)-[α-L-Fuc-(1→3)]-β-D-GlcNAc joined by a (1→3)-linkage.[CHEBI:61325],GlycoEpitope:EP0093|CID:50909845|CHEBI:61325|GlycoMotif:GGM.000031,GTC:G79535HZ|GlycoEpitope:EP0093|CID:50909845|CHEBI:61325|GlycoMotif:GGM.000031,DimLex^x|dimeric Le(x)|Lex-Lex|diLe(x)|Lewisx-Lewisx,cancer-associated antigen[GlycoEpitope:EP0093],colonic cancer[GlycoEpitope:EP0093]|liver cancer[GlycoEpitope:EP0093],,NBK453042-Chapter 14
Diphosphorylated Man6,GD000059,G54792LL,"Here we report that the single-chain variable domain (scFv) M6P-1 is a unique antibody fragment with specificity for Man6P monosaccharide that, through an array-screening approach against a number of phosphorylated N-glycans, is shown to bind mono- and diphosphorylated Man6 and Man7 glycans that contain terminal αMan6P(1 → 2)αMan(1 → 3)αMan.[PMID:26503547]",26503547,,GlycoMotif:GGM.000054,GTC:G54792LL|GlycoMotif:GGM.000054,Diphosphorylated Man_6,,,,
Disialosyl globopentaosylceramide,GD000060,G97932OH,Disialosyl globopentaosylceramide (DSGb5) is often expressed by renal cell carcinomas.[PMID:31339142],31339142|24637536|25864532|27344728|12084983|32567311|28205070|20663960|18214042,Disialosyl globopentaosylceramide (DSGb5) is a ganglioside originally isolated from tissue extracts of renal cell carcinoma (RCC) with metastasis.[PMID:28205070],GlycoMotif:GGM.000082|GlycoEpitope:EP0098|CID:91860287|KEGG:G00181|SugarBind_Ligand:57,GlycoMotif:GGM.000082|GTC:G97932OH|GlycoEpitope:EP0098|CID:91860287|KEGG:G00181|SugarBind_Ligand:57,DSGb5|Disialosyl Gb5|V3NeuAcIV6NeuAc-Gb5Cer|Disialosylgalactosylgloboside,promotes metastasis[PMID:28205070],prostate cancer[PMID:24637536]|renal cell carcinoma/RCC[GlycoEpitope:EP0098]|Pyelonephritis[SugarBind_Ligand:57],,
Disialyl Gb5,GD000061,G97932OH,"The major disialoganglioside antigen isolated from ACHN cells, showing specific reactivity with 5F3, was characterized unequivocally as disialosyl Gb5 (V(3)NeuAcIV(6)NeuAcGb5) by identification of the core structure as globopentaosylceramide (Gb5) after enzymatic and acid hydrolysis, and by 2-dimensional (1)H-NMR spectroscopy.[PMID: 12084983]",12084983,,GlycoEpitope:EP0098|CID:91860287|SugarBind_Ligand:57|KEGG:G00181,GlycoEpitope:EP0098|GTC:G97932OH|CID:91860287|SugarBind_Ligand:57|KEGG:G00181,,,renal cell carcinoma/RCC[GlycoEpitope:EP0098]|Pyelonephritis[SugarBind_Ligand:57],,
Disialyl I,GD000062,G54937EM,"Here we present an example of promotion of binding of soluble-form FN from placenta or from hepatoma cells, having a specific carbohydrate epitope termed ""disialyl-I,"" to K562 or VA13 cell surface in the presence of glycosphingolipid Gg3, which interacts specifically with disialyl-I[PMID:10640401]",10640401,,GlycoEpitope:EP0095|CID:91849523,GlycoEpitope:EP0095|GTC:G54937EM|CID:91849523,disialyl-I,,,,
